W016ABCDEF0008_CARD	W016ABCDEF0008_CARD	SQ_CC016ABCDEF0008_CARD	CC016ABCDEF0008_CARD				
C016ABCDEF0011_CONTRACT_CR	ALL_CREDIT_AMOUNT	ALL_CREDIT_AMOUNT	ALL_CREDIT_AMOUNT		
C016ABCDEF0011_CONTRACT_CR	OVD_INT_PAID_AMOUNT_BAL	OVD_INT_PAID_AMOUNT_BAL	OVD_INT_PAID_AMOUNT_BAL		
C016ABCDEF0011_CONTRACT_CR	LN_INT_PAID_AMOUNT	LN_INT_PAID_AMOUNT	LN_INT_PAID_AMOUNT		
C016ABCDEF0013_TRANZ	C016ABCDEF0013_TRANZ	SQ_CC016ABCDEF0013_TRANZ	CC016ABCDEF0013_TRANZ		
C016ABCDEF0013_TRANZ	SK_INFO_MB	SK_INFO_MB	SK_INFO_MB		
C016ABCDEF0013_TRANZ	SK_REPT_CURR	SK_REPT_CURR	SK_REPT_CURR		
C016ABCDEF0013_TRANZ	SK_INFO_SYSTEM	SK_INFO_SYSTEM	SK_INFO_SYSTEM		
C016ABCDEF0013_TRANZ	NFC_TOKEN	NFC_TOKEN	NFC_TOKEN		
C016ABCDEF0013_TRANZ	SK_NFC_TOKEN	SK_NFC_TOKEN	SK_NFC_TOKEN		
C016ABCDEF0013_TRANZ	M_P_IND	M_P_IND	M_P_IND		
C016ABCDEF0013_TRANZ	AGREEMENT_ID_W4	AGREEMENT_ID_W4	AGREEMENT_ID_W4		
C016ABCDEF0013_TRANZ	CARD_HOLDER	CARD_HOLDER	CARD_HOLDER		
C016ABCDEF0013_TRANZ	ISSUE_NUMBER	ISSUE_NUMBER	ISSUE_NUMBER		
C016ABCDEF0013_TRANZ	TRANS_DATE	TRANS_DATE	TRANS_DATE		
C016ABCDEF0013_TRANZ	TRANS_TYPE	TRANS_TYPE	TRANS_TYPE		
C016ABCDEF0013_TRANZ	MCC_CODE	MCC_CODE	MCC_CODE		
C016ABCDEF0013_TRANZ	TRANS_COUNTRY	TRANS_COUNTRY	TRANS_COUNTRY		
C016ABCDEF0013_TRANZ	TRANS_AMOUNT	TRANS_AMOUNT	TRANS_AMOUNT		
C016ABCDEF0013_TRANZ	TRANS_CURRENCY_CD	TRANS_CURRENCY_CD	TRANS_CURRENCY_CD		
C016ABCDEF0013_TRANZ	AMOUNT	AMOUNT	AMOUNT		
C016ABCDEF0013_TRANZ	TRANS_TIME	TRANS_DATE	TRANS_DATE		
C016ABCDEF0013_TRANZ	SK_TRANS_TYPE	SK_TRANS_TYPE	SK_TRANS_TYPE		
C016ABCDEF0013_TRANZ	CURRENCY_CD	CURRENCY_CD	CURRENCY_CD		
C016ABCDEF0013_TRANZ	AMOUNT_RUR	AMOUNT_RUR	AMOUNT_RUR		
C016ABCDEF0013_TRANZ	TRANS_UNIQUENESS_NBR	TRANS_UNIQUENESS_NBR	TRANS_UNIQUENESS_NBR		
C016ABCDEF0013_TRANZ	INFO_SYSTEM_TYPE_CD	INFO_SYSTEM_TYPE_CD	INFO_SYSTEM_TYPE_CD		
C016ABCDEF0013_TRANZ	INFO_SYSTEM_INST_CD	INFO_SYSTEM_INST_CD	INFO_SYSTEM_INST_CD		
C016ABCDEF0013_TRANZ	INPUT_FILE_NAME	INPUT_FILE_NAME	INPUT_FILE_NAME		
C016ABCDEF0013_TRANZ	SK_INPUT_FILE	SK_INPUT_FILE	SK_INPUT_FILE		
C016ABCDEF0013_TRANZ	SK_ACCESS_DEVICE	SK_ACCESS_DEVICE	SK_ACCESS_DEVICE		
C016ABCDEF0013_TRANZ	SK_AGREEMENT	SK_AGREEMENT	SK_AGREEMENT		
C016ABCDEF0013_TRANZ	SK_EVENT	SK_EVENT	SK_EVENT		
C016ABCDEF0013_TRANZ	SK_CURRENCY	SK_CURRENCY	SK_CURRENCY		
C016ABCDEF0013_TRANZ	IMPORTED_FLAG	IMPORTED_FLAG	IMPORTED_FLAG		
C016ABCDEF0013_TRANZ	LOCAL_DATE	LOCAL_DATE	LOCAL_DATE		
C016ABCDEF0013_TRANZ	CARD_NUMBER	CARD_NUMBER	CARD_NUMBER		
C016ABCDEF0013_TRANZ	SK_EVT_CLS_VAL_MCC	SK_EVT_CLS_VAL_MCC	SK_EVT_CLS_VAL_MCC		
C016ABCDEF0013_TRANZ	MERCHANT_ID	MERCHANT_ID	MERCHANT_ID		
C016ABCDEF0013_TRANZ	ACQ_BANK	ACQ_BANK	ACQ_BANK		
C016ABCDEF0013_TRANZ	ACQ_BRCH	ACQ_BRCH	ACQ_BRCH		
C016ABCDEF0013_TRANZ	TERMINAL_ID	TERMINAL_ID	TERMINAL_ID		
C016ABCDEF0013_TRANZ	NFC_TRANS	NFC_TRANS	NFC_TRANS		
C016ABCDEF0013_TRANZ	REPT_CURR	REPT_CURR	REPT_CURR		
C016ABCDEF0013_TRANZ	MERCHANT_NAME	MERCHANT_NAME	MERCHANT_NAME		
C016ABCDEF0013_TRANZ	INFO_MB	INFO_MB	INFO_MB		
C016ABCDEF0013_TRANZ	DES_LINE1	DES_LINE1	DES_LINE1		
C016ABCDEF0013_TRANZ	MICRO_REF	MICRO_REF	MICRO_REF		
C016ABCDEF0013_TRANZ	SOURCE_FEE_AMOUNT	SOURCE_FEE_AMOUNT	SOURCE_FEE_AMOUNT		
C016ABCDEF0013_TRANZ	CPID	CPID	CPID		
C016ABCDEF0013_TRANZ	CPID_BIN	CPID_BIN	CPID_BIN		
C016ABCDEF0013_TRANZ	TRANS_CONDITION	TRANS_CONDITION	TRANS_CONDITION		
C016ABCDEF0018_ACQUIRING	C016ABCDEF0018_ACQUIRING	SQ_CC016ABCDEF0018_ACQUIRING	CC016ABCDEF0018_ACQUIRING		
C016ABCDEF0018_ACQUIRING	AUTH_SRCE	AUTH_SRCE	AUTH_SRCE		
C016ABCDEF0018_ACQUIRING	SK_EVT_CLS_VAL_MCC	SK_EVT_CLS_VAL_MCC	SK_EVT_CLS_VAL_MCC		
